,2026年6月度,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004090200_本社収支,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：円）,
,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,
,,5月,,,,,,6月,,,,第1四半期,,,,第2四半期,,,,上期,,,,年度,,,,
,科目,MP,予定,実績,予定比,MP比,前年比,MP,予定,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,
1,総受注高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,0.0%,1
2,    許諾料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,2
3,    穂木,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,3
4,    ﾛｲﾔﾙﾃｨ,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,4
5,    バラ,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,0.0%,5
6,    通信販売,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,6
7,    セット苗,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,7
8,    その他,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,8
9,総売上高,0,0,"63,129",-,-,22.0%,0,0,-,-,0,"722,585",-,81.5%,0,0,-,0.0%,0,"722,585",-,49.6%,0,"722,585",-,25.0%,9
10,    許諾料,0,0,"330,000",-,-,80.4%,0,0,-,0.0%,0,"600,000",-,46.8%,0,0,-,-,0,"600,000",-,50.8%,0,"600,000",-,48.5%,10
11,    穂木,0,0,"151,116",-,-,85.1%,0,0,-,-,0,"260,962",-,119.9%,0,0,-,0.0%,0,"260,962",-,110.2%,0,"260,962",-,35.5%,11
12,    ﾛｲﾔﾙﾃｨ,0,0,"8,533",-,-,31.8%,0,0,-,-,0,"267,994",-,54.8%,0,0,-,0.0%,0,"267,994",-,43.7%,0,"267,994",-,16.4%,12
13,    バラ,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,0.0%,13
14,    通信販売,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,14
