,2026年6月度,,,,,,,,,,,,,,,,,,,,,,,,,,,
,210A30200_岐阜工務チーム,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：円）,
,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,
,,5月,,,,,,6月,,,,第1四半期,,,,第2四半期,,,,上期,,,,年度,,,,
,科目,MP,予定,実績,予定比,MP比,前年比,MP,予定,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,
1,総出荷,"55,000,000","21,991,455","9,454,841",42.9%,17.1%,-,"33,500,000","31,835,000",95.0%,-,"106,500,000","49,311,206",46.3%,-,"214,000,000","189,982,524",88.7%,-,"320,500,000","239,293,730",74.6%,-,"660,000,000","395,604,058",59.9%,-,1
2,    社外売,"55,000,000","21,991,455","9,454,841",42.9%,17.1%,-,"33,500,000","31,835,000",95.0%,-,"106,500,000","49,311,206",46.3%,-,"214,000,000","189,982,524",88.7%,-,"320,500,000","239,293,730",74.6%,-,"660,000,000","395,604,058",59.9%,-,2
3,    社内売,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,3
4,    社内仕入,"4,131,000","5,724,775","7,456,027",130.2%,180.4%,-,"4,319,000","17,919,834",414.9%,-,"9,805,000","26,893,196",274.2%,-,"34,946,000","33,417,129",95.6%,-,"44,751,000","60,310,325",134.7%,-,"106,600,000","72,990,539",68.4%,-,4
5,    仕掛1,0,0,0,-,-,-,0,0,-,-,"1,000,000",0,0.0%,-,0,0,-,-,"1,000,000",0,0.0%,-,0,0,-,-,5
6,総生産,"50,869,000","16,266,680","1,998,814",12.2%,3.9%,-,"29,181,000","13,915,166",47.6%,-,"95,695,000","22,418,010",23.4%,-,"179,054,000","156,565,395",87.4%,-,"274,749,000","178,983,405",65.1%,-,"553,400,000","322,613,519",58.2%,-,6
7,経費合計,"46,525,232","16,030,658","22,199,681",138.4%,47.7%,-,"26,573,504","24,918,056",93.7%,-,"89,866,438","67,225,734",74.8%,-,"162,210,347","151,336,458",93.2%,-,"252,076,785","218,562,192",86.7%,-,"502,463,329","311,752,887",62.0%,-,7
8,経費合計(原価),"37,179,000","11,743,329","19,820,377",168.7%,53.3%,-,"21,671,000","20,039,586",92.4%,-,"72,045,000","58,099,241",80.6%,-,"137,514,000","129,062,907",93.8%,-,"209,559,000","187,162,148",89.3%,-,"423,400,000","256,704,071",60.6%,-,8
9,    仕掛2,0,0,0,-,-,-,0,0,-,-,"1,000,000","5,979,534",597.9%,-,0,0,-,-,"1,000,000","5,979,534",597.9%,-,0,0,-,-,9
10,    商品仕入高,"19,484,000","4,543,979","12,108,089",266.4%,62.1%,-,"11,703,000","6,129,025",52.3%,-,"37,623,000","26,794,631",71.2%,-,"75,110,000","70,604,254",94.0%,-,"112,733,000","97,398,885",86.3%,-,"231,243,000","137,945,492",59.6%,-,10
11,    原材料費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,11
12,    外注加工費,"16,523,500","4,726,950","6,405,510",135.5%,38.7%,-,"9,536,000","11,044,700",115.8%,-,"31,479,500","20,910,010",66.4%,-,"60,133,000","56,407,421",93.8%,-,"91,612,500","77,317,431",84.3%,-,"185,197,000","110,668,354",59.7%,-,12
13,    その他 直接経費,"1,171,500","2,472,400","1,306,778",52.8%,111.5%,-,"432,000","2,865,861",663.3%,-,"1,942,500","4,415,066",227.2%,-,"2,271,000","2,051,232",90.3%,-,"4,213,500","6,466,298",153.4%,-,"6,960,000","8,090,225",116.2%,-,13
14,    他勘定振替高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,14
15,経費合計（販管費）,"9,346,232","4,287,329","2,379,304",55.4%,25.4%,-,"4,902,504","4,878,470",99.5%,-,"17,821,438","9,126,493",51.2%,-,"24,696,347","22,273,551",90.1%,-,"42,517,785","31,400,044",73.8%,-,"79,063,329","55,048,816",69.6%,-,15
16,    減価償却費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,16
17,    車両費,"191,000","191,000","241,833",126.6%,126.6%,-,"151,000","351,000",232.4%,-,"493,000","657,851",133.4%,-,"453,000","453,000",100.0%,-,"946,000","1,110,851",117.4%,-,"1,988,000","2,152,851",108.2%,-,17
18,    旅費交通費,"120,000","120,000","124,345",103.6%,103.6%,-,"110,000","110,000",100.0%,-,"330,000","292,498",88.6%,-,"280,000","280,000",100.0%,-,"610,000","572,498",93.8%,-,"1,150,000","1,112,498",96.7%,-,18
19,    荷造運搬費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,19
20,    通信費,"8,000","8,000","6,851",85.6%,85.6%,-,"8,000","8,000",100.0%,-,"24,000","22,270",92.7%,-,"24,000","24,000",100.0%,-,"48,000","46,270",96.3%,-,"96,000","94,270",98.1%,-,20
21,    水道光熱費,"9,000","9,000","3,382",37.5%,37.5%,-,"8,000","8,000",100.0%,-,"28,000","15,399",54.9%,-,"110,000","110,000",100.0%,-,"138,000","125,399",90.8%,-,"195,000","182,399",93.5%,-,21
22,    動力費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,22
23,    事務用品費,"5,000","5,000","8,046",160.9%,160.9%,-,"5,000","5,000",100.0%,-,"15,000","14,751",98.3%,-,"15,000","15,000",100.0%,-,"30,000","29,751",99.1%,-,"60,000","59,751",99.5%,-,23
24,    消耗品費,"3,000","3,000","1,200",40.0%,40.0%,-,"2,000","2,000",100.0%,-,"13,000","4,371",33.6%,-,"6,000","6,000",100.0%,-,"19,000","10,371",54.5%,-,"32,000","23,371",73.0%,-,24
25,    廃棄物処理料,"100,000","100,000",404,0.4%,0.4%,-,0,0,-,-,"100,000",404,0.4%,-,"300,000","300,000",100.0%,-,"400,000","300,404",75.1%,-,"700,000","600,404",85.7%,-,25
26,    広告宣伝費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,26
