,2026年6月度,,,,,,,,,,,,,,,,,,,,,,,,,,,
,310A10300_芝草緑化課,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：円）,
,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,
,,5月,,,,,,6月,,,,第1四半期,,,,第2四半期,,,,上期,,,,年度,,,,
,科目,MP,予定,実績,予定比,MP比,前年比,MP,予定,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,
1,総受注高,"28,460,000","27,860,000","25,333,084",90.9%,89.0%,89.0%,"30,560,000","30,560,000",100.0%,101.2%,"84,790,000","85,066,965",100.3%,99.4%,"131,020,000","131,020,000",100.0%,97.0%,"215,810,000","216,086,965",100.1%,98.0%,"309,500,000","309,776,965",100.0%,102.6%,1
2,総売上高,"28,460,000","27,860,000","25,333,084",90.9%,89.0%,89.0%,"30,560,000","30,560,000",100.0%,101.2%,"84,790,000","85,066,965",100.3%,99.4%,"131,020,000","131,020,000",100.0%,97.0%,"215,810,000","216,086,965",100.1%,98.0%,"309,500,000","309,776,965",100.0%,102.6%,2
3,    売上高,"28,460,000","27,860,000","25,556,534",91.7%,89.7%,89.8%,"30,560,000","30,560,000",100.0%,101.2%,"84,790,000","85,674,705",101.0%,100.1%,"131,020,000","131,020,000",100.0%,97.0%,"215,810,000","216,694,705",100.4%,98.2%,"309,500,000","310,384,705",100.2%,102.8%,3
4,    売上値引,0,0,"-223,450",-,-,-,0,0,-,-,0,"-607,740",-,-,0,0,-,-,0,"-607,740",-,-,0,"-607,740",-,-,4
5,売上原価,"22,690,000","22,160,000","21,292,373",96.0%,93.8%,93.7%,"24,130,000","24,130,000",100.0%,99.9%,"67,315,000","68,922,753",102.3%,100.3%,"103,820,000","103,820,000",100.0%,96.4%,"171,135,000","172,742,753",100.9%,98.0%,"246,500,000","248,107,753",100.6%,102.3%,5
6,総収益,"5,770,000","5,700,000","4,040,711",70.8%,70.0%,70.3%,"6,430,000","6,430,000",100.0%,106.5%,"17,475,000","16,144,212",92.3%,95.7%,"27,200,000","27,200,000",100.0%,99.4%,"44,675,000","43,344,212",97.0%,98.0%,"63,000,000","61,669,212",97.8%,104.1%,6
7,経費合計,"910,581","969,491","920,514",94.9%,101.0%,108.5%,"920,805","903,607",98.1%,105.7%,"2,971,341","2,951,318",99.3%,108.1%,"3,203,398","3,215,796",100.3%,102.1%,"6,174,739","6,167,114",99.8%,104.9%,"11,492,417","11,488,679",99.9%,103.8%,7
8,    減価償却費,"1,563","1,563","1,454",93.0%,93.0%,191.8%,"1,563","1,563",100.0%,206.2%,"4,689","4,471",95.3%,196.6%,"4,689","4,689",100.0%,206.2%,"9,378","9,160",97.6%,201.4%,"18,756","18,538",98.8%,204.9%,8
9,    車両費,"82,880","82,880","79,425",95.8%,95.8%,81.4%,"89,941","89,941",100.0%,73.2%,"251,201","235,110",93.5%,76.4%,"269,140","269,140",100.0%,74.4%,"520,341","504,250",96.9%,75.3%,"1,013,621","997,530",98.4%,81.5%,9
10,    旅費交通費,"151,500","151,500","137,642",90.8%,90.8%,140.9%,"156,500","156,500",100.0%,199.1%,"446,500","461,544",103.3%,176.7%,"560,000","560,000",100.0%,161.4%,"1,006,500","1,021,544",101.4%,168.0%,"1,897,500","1,912,544",100.7%,160.5%,10
11,    荷造運搬費,"221,000","221,000","198,120",89.6%,89.6%,89.5%,"173,000","173,000",100.0%,99.3%,"529,500","471,366",89.0%,88.7%,"770,000","770,000",100.0%,99.5%,"1,299,500","1,241,366",95.5%,95.1%,"1,991,000","1,932,866",97.0%,96.0%,11
12,    通信費,"22,734","22,734","22,275",97.9%,97.9%,109.1%,"24,782","24,782",100.0%,112.5%,"69,077","65,015",94.1%,105.5%,"68,983","68,983",100.0%,110.7%,"138,060","133,998",97.0%,108.1%,"260,404","256,342",98.4%,110.4%,12
13,    水道光熱費,"17,069","17,069","14,748",86.4%,86.4%,178.1%,"12,860","12,860",100.0%,206.1%,"56,423","53,002",93.9%,193.6%,"78,508","78,508",100.0%,206.1%,"134,931","131,510",97.4%,200.9%,"263,625","260,204",98.7%,208.3%,13
14,    事務用品費,"3,710","3,710","2,738",73.8%,73.8%,152.1%,"2,619","2,619",100.0%,206.2%,"10,815","9,476",87.6%,180.6%,"10,288","10,288",100.0%,206.2%,"21,103","19,764",93.6%,193.1%,"39,614","38,275",96.6%,205.4%,14
15,    消耗品費,"1,454","1,454",489,33.6%,33.6%,101.0%,"1,454","1,454",100.0%,71.4%,"4,362","3,071",70.4%,95.4%,"4,362","4,362",100.0%,316.7%,"8,724","7,433",85.2%,161.8%,"17,448","16,157",92.6%,115.4%,15
16,    廃棄物処理料,"7,358","7,358","6,575",89.3%,89.3%,-,"3,030","3,030",100.0%,-,"13,418","12,635",94.1%,-,"15,226","15,226",100.0%,-,"28,644","27,861",97.2%,-,"60,210","59,427",98.6%,-,16
17,    広告宣伝費,0,0,0,-,-,-,0,0,-,-,"50,000",0,0.0%,0.0%,"70,000","70,000",100.0%,87.5%,"120,000","70,000",58.3%,53.8%,"268,728","218,728",81.3%,70.8%,17
18,    接待交際費,"23,000","78,210","93,768",119.8%,407.6%,411.7%,"109,000","90,300",82.8%,95.6%,"255,410","357,663",140.0%,152.5%,"424,700","439,700",103.5%,92.0%,"680,110","797,363",117.2%,111.9%,"1,484,910","1,602,163",107.8%,110.1%,18
20,    賃借料,0,0,0,-,-,-,0,0,-,-,"87,264","87,264",100.0%,206.1%,0,0,-,-,"87,264","87,264",100.0%,206.1%,"87,264","87,264",100.0%,206.1%,20
21,    賃貸料収入,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,21
22,    修繕費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,0.0%,0,0,-,0.0%,0,0,-,0.0%,22
23,    支払リース料,"1,733","1,733","1,733",100.0%,100.0%,4.4%,"1,733","1,733",100.0%,4.4%,"5,199","5,199",100.0%,4.4%,"5,199","5,199",100.0%,4.3%,"10,398","10,398",100.0%,4.4%,"20,796","20,796",100.0%,4.4%,23
24,    保険料,0,0,0,-,-,0.0%,0,0,-,0.0%,0,0,-,0.0%,0,0,-,0.0%,0,0,-,0.0%,0,0,-,0.0%,24
25,    支払報酬,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,25
26,    販売手数料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,26
27,    支払手数料,"3,248","3,248","1,454",44.7%,44.7%,70.1%,"2,073","2,073",100.0%,151.9%,"6,775","5,431",80.1%,114.9%,"10,749","10,749",100.0%,161.0%,"17,524","16,180",92.3%,141.9%,"27,848","26,504",95.1%,96.5%,27
28,    診断料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,28
29,    諸会費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,"1,212","1,212",100.0%,206.1%,"1,212","1,212",100.0%,206.1%,"1,212","1,212",100.0%,206.1%,29
30,    会議費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,30
31,    寄付金,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,31
32,    租税公課,400,400,0,0.0%,0.0%,0.0%,400,400,100.0%,100.0%,"1,400",400,28.5%,28.5%,400,400,100.0%,100.0%,"1,800",800,44.4%,44.4%,"5,800","4,800",82.7%,82.7%,32
33,    業務委託費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,33
34,    業務受託収入,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,34
35,    システム管理料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,35
36,    情報機器利用料,"37,700","37,700","37,700",100.0%,100.0%,227.7%,"37,700","37,700",100.0%,227.7%,"113,100","113,100",100.0%,227.7%,"113,100","113,100",100.0%,227.7%,"226,200","226,200",100.0%,227.7%,"452,400","452,400",100.0%,227.7%,36
37,    貸倒金,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,37
38,    雑費,"1,454","1,454",801,55.0%,55.0%,16.1%,"1,454","1,454",100.0%,77.4%,"4,362","3,024",69.3%,33.4%,"4,362","4,362",100.0%,50.3%,"8,724","7,386",84.6%,41.7%,"17,448","16,110",92.3%,40.5%,38
39,    福利消耗品費,0,0,687,-,-,-,0,0,-,-,0,"16,823",-,-,0,0,-,-,0,"16,823",-,-,0,"16,823",-,-,39
40,    教育研修費,"1,338","1,338","1,230",91.9%,91.9%,-,628,628,100.0%,-,"83,394","92,086",110.4%,-,"1,884","1,884",100.0%,-,"85,278","93,970",110.1%,-,"89,822","98,514",109.6%,-,40
41,    廃棄損・減耗損,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,41
42,    雑給,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,42
43,    社内金利（固定資産）,"1,298","1,298","1,084",83.5%,83.5%,-,"1,287","1,298",100.8%,-,"3,894","3,473",89.1%,-,"3,795","3,795",100.0%,-,"7,689","7,268",94.5%,-,"14,982","14,561",97.1%,-,43
44,    社内金利（売掛金）,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,44
45,    部門共通（経費）,"316,342","320,042","303,791",94.9%,96.0%,102.8%,"285,981","287,472",100.5%,104.6%,"930,158","906,765",97.4%,102.3%,"742,401","739,799",99.6%,97.6%,"1,672,559","1,646,564",98.4%,100.1%,"3,281,429","3,259,321",99.3%,96.2%,45
46,    グループ共通,"14,800","14,800","14,800",100.0%,100.0%,125.4%,"14,800","14,800",100.0%,125.4%,"44,400","44,400",100.0%,125.4%,"44,400","44,400",100.0%,125.4%,"88,800","88,800",100.0%,125.4%,"177,600","177,600",100.0%,125.4%,46
47,差引収益,"4,859,419","4,730,509","3,120,197",65.9%,64.2%,63.7%,"5,509,195","5,526,393",100.3%,106.7%,"14,503,659","13,192,894",90.9%,93.4%,"23,996,602","23,984,204",99.9%,99.1%,"38,500,261","37,177,098",96.5%,97.0%,"51,507,583","50,180,533",97.4%,104.1%,47
48,差引比率,17.0,16.9,12.3,72.7%,72.3%,71.9%,18.0,18.0,100.0%,105.2%,17.1,15.5,90.6%,93.9%,18.3,18.3,100.0%,102.2%,17.8,17.2,96.6%,99.4%,16.6,16.1,96.9%,101.2%,48
49,総時間,548.75,544.75,531.00,97.4%,96.7%,128.9%,623.25,608.75,97.6%,144.8%,"1,768.75","1,774.25",100.3%,139.4%,"1,639.50","1,598.50",97.4%,139.8%,"3,408.25","3,372.75",98.9%,139.6%,"6,467.00","6,374.25",98.5%,140.4%,49
50,    定時間,320.00,320.00,320.00,100.0%,100.0%,181.8%,368.00,368.00,100.0%,205.0%,"1,040.00","1,048.00",100.7%,194.2%,976.00,976.00,100.0%,196.7%,"2,016.00","2,024.00",100.3%,195.4%,"3,888.00","3,896.00",100.2%,197.9%,50
51,    残業時間,35.00,35.00,37.50,107.1%,107.1%,106.3%,35.00,35.00,100.0%,88.0%,105.00,156.00,148.5%,120.6%,105.00,105.00,100.0%,76.9%,210.00,261.00,124.2%,98.2%,380.00,431.00,113.4%,85.5%,51
52,    移動時間,0.00,0.00,0.00,-,-,-,0.00,0.00,-,-,0.00,0.00,-,-,0.00,0.00,-,-,0.00,0.00,-,-,0.00,0.00,-,-,52
53,    部門共通（時間）,193.75,189.75,173.50,91.4%,89.5%,86.5%,220.25,205.75,93.4%,102.3%,623.75,570.25,91.4%,94.4%,558.50,517.50,92.6%,101.4%,"1,182.25","1,087.75",92.0%,97.6%,"2,199.00","2,047.25",93.0%,99.1%,53
54,当月時間当り,"8,855.4","8,683.8","5,876.0",67.6%,66.3%,49.4%,"8,839.4","9,078.2",102.7%,73.6%,"8,199.9","7,435.7",90.6%,67.0%,"14,636.5","15,004.1",102.5%,70.8%,"11,296.1","11,022.7",97.5%,69.4%,"7,964.6","7,872.3",98.8%,74.1%,54
55,人員,2,2,2,100.0%,100.0%,200.0%,2,2,100.0%,200.0%,2,2,100.0%,200.0%,2,2,100.0%,200.0%,2,2,100.0%,200.0%,2,2,100.0%,200.0%,55
,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,
