,2026年6月度,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015000000_イノチオ・スズキヤングプランツ㈱,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：円）,
,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,
,,5月,,,,,,6月,,,,第1四半期,,,,第2四半期,,,,上期,,,,年度,,,,
,科目,MP,予定,実績,予定比,MP比,前年比,MP,予定,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,
1,総受注高,"2,302,400","13,347,000","14,278,520",106.9%,620.1%,123.9%,"24,777,000","13,724,000",55.3%,43.0%,"30,080,000","31,510,700",104.7%,65.0%,"10,781,000","10,207,200",94.6%,166.9%,"40,861,000","41,717,900",102.0%,76.4%,"56,300,000","57,156,900",101.5%,79.7%,1
2,総売上高,"2,302,400","13,347,000","14,278,520",106.9%,620.1%,123.9%,"24,777,000","13,389,000",54.0%,41.9%,"30,080,000","31,175,700",103.6%,64.3%,"10,781,000","10,207,200",94.6%,166.9%,"40,861,000","41,382,900",101.2%,75.8%,"56,300,000","56,821,900",100.9%,79.2%,2
3,    苗売上,"2,302,400","13,347,000","14,278,520",106.9%,620.1%,123.9%,"24,442,000","13,389,000",54.7%,41.9%,"29,745,000","30,655,140",103.0%,63.6%,"10,781,000","10,207,200",94.6%,166.9%,"40,526,000","40,862,340",100.8%,75.2%,"55,965,000","56,301,340",100.6%,79.8%,3
4,    その他の売上,0,0,0,-,-,-,"335,000",0,0.0%,-,"335,000","520,560",155.3%,190.5%,0,0,-,-,"335,000","520,560",155.3%,190.5%,"335,000","520,560",155.3%,44.1%,4
5,経費合計,"2,219,464","2,957,714","1,317,037",44.5%,59.3%,101.2%,"840,064","2,417,014",287.7%,190.5%,"4,230,292","5,028,246",118.8%,111.7%,"3,879,492","3,829,492",98.7%,87.9%,"8,109,784","8,857,738",109.2%,100.0%,"22,093,308","21,841,262",98.8%,104.4%,5
6,    種苗費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,6
7,    肥料費,"30,000","30,000","309,190",-,-,-,"30,000","30,000",100.0%,106.5%,"90,000","421,660",468.5%,748.9%,"380,000","330,000",86.8%,64.4%,"470,000","751,660",159.9%,132.2%,"1,300,000","1,581,660",121.6%,123.1%,7
8,    培土費用,"972,000","610,250",0,0.0%,0.0%,0.0%,0,"145,200",-,32.8%,"972,000","237,700",24.4%,27.2%,0,0,-,0.0%,"972,000","237,700",24.4%,27.1%,"1,572,000","837,700",53.2%,65.3%,8
9,    農薬衛生費,"100,000","100,000","114,330",114.3%,114.3%,-,"100,000","20,000",20.0%,-,"300,000","193,760",64.5%,100.6%,"400,000","400,000",100.0%,92.7%,"700,000","593,760",84.8%,95.1%,"1,550,000","1,443,760",93.1%,107.9%,9
10,    農具費,"150,000","150,000","109,033",72.6%,72.6%,58.1%,"50,000","50,000",100.0%,19.0%,"325,000","331,683",102.0%,40.9%,"316,000","316,000",100.0%,35.8%,"641,000","647,683",101.0%,38.3%,"1,369,000","1,375,683",100.4%,62.5%,10
11,    諸材料費,0,0,0,-,-,-,0,0,-,-,0,0,-,0.0%,0,0,-,-,0,0,-,0.0%,0,0,-,0.0%,11
12,    その他仕入高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,12
13,    減価償却費,"237,903","237,903","237,903",100.0%,100.0%,160.6%,"237,903","237,903",100.0%,167.4%,"713,709","713,709",100.0%,167.4%,"713,709","713,709",100.0%,104.5%,"1,427,418","1,427,418",100.0%,128.7%,"2,854,576","2,854,576",100.0%,104.5%,13
14,    車両費,"29,100","29,100","29,504",101.3%,101.3%,96.8%,"29,100","29,100",100.0%,115.9%,"143,300","144,164",100.6%,89.3%,"87,300","87,300",100.0%,115.9%,"230,600","231,464",100.3%,97.7%,"405,200","406,064",100.2%,103.7%,14
15,    旅費交通費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,0.0%,0,0,-,0.0%,0,0,-,0.0%,15
16,    荷造運搬費,"30,000","30,000","21,020",70.0%,70.0%,-,0,0,-,-,"50,000","36,840",73.6%,-,0,0,-,-,"50,000","36,840",73.6%,-,"133,000","119,840",90.1%,203.4%,16
17,    通信費,"10,581","10,581","10,801",102.0%,102.0%,172.6%,"10,581","10,581",100.0%,195.8%,"31,743","34,059",107.2%,212.1%,"31,743","31,743",100.0%,166.1%,"63,486","65,802",103.6%,187.1%,"126,972","129,288",101.8%,135.1%,17
18,    水道光熱費,"560,400","560,400","565,781",100.9%,100.9%,101.0%,"295,000","295,000",100.0%,100.8%,"1,114,100","1,105,039",99.1%,99.6%,"1,344,100","1,344,100",100.0%,102.3%,"2,458,200","2,449,139",99.6%,101.1%,"4,391,400","4,382,339",99.7%,102.4%,18
19,    動力費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,19
20,    燃料費,0,"1,200,000",0,0.0%,-,-,0,"1,560,000",-,-,0,"1,560,000",-,-,0,0,-,-,0,"1,560,000",-,-,"7,000,000","7,560,000",108.0%,150.0%,20
21,    事務用品費,"5,000","5,000","1,198",23.9%,23.9%,-,"5,000","5,000",100.0%,164.1%,"15,000","6,813",45.4%,43.1%,"15,000","15,000",100.0%,131.4%,"30,000","21,813",72.7%,80.2%,"60,000","51,813",86.3%,33.2%,21
22,    消耗品費,"20,000","20,000","21,346",106.7%,106.7%,235.8%,"20,000","20,000",100.0%,91.4%,"60,000","44,594",74.3%,108.0%,"60,000","60,000",100.0%,116.7%,"120,000","104,594",87.1%,112.8%,"190,000","174,594",91.8%,108.1%,22
23,    廃棄物処理料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,23
24,    広告宣伝費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,24
