,2026年8月度,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230I60100_オペレーション部,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：円）,
,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,
,,7月,,,,,,8月,,,,9月,,,,上期,,,,下期,,,,年度,,,,
,科目,MP,予定,実績,予定比,MP比,前年比,MP,予定,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,
1,総受注高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,1
2,    受注高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,2
3,    受注割戻高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,3
4,総売上高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,4
5,    売上高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,5
6,    売上割戻高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,6
7,売上原価,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,7
8,    売上原価（割戻前）,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,8
9,    仕入割戻高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,9
10,総収益,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,10
11,経費合計,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,11
12,    減価償却費,"22,341","22,341","22,341",100.0%,100.0%,30.6%,"22,341","22,341",100.0%,30.6%,"21,863","21,863",100.0%,30.0%,"133,568","133,568",100.0%,30.8%,"126,254","126,254",100.0%,28.8%,"259,822","259,822",100.0%,29.8%,12
13,    車両費,"24,842","24,842","23,782",95.7%,95.7%,2.2%,"26,342","26,342",100.0%,2.3%,"24,842","24,842",100.0%,2.5%,"158,552","158,860",100.1%,2.4%,"179,152","179,152",100.0%,2.9%,"337,704","338,012",100.0%,2.6%,13
14,    旅費交通費,"150,000","150,000","90,672",60.4%,60.4%,48.6%,"60,000","60,000",100.0%,79.2%,"70,000","70,000",100.0%,53.3%,"561,500","645,802",115.0%,97.1%,"591,520","591,520",100.0%,67.6%,"1,153,020","1,237,322",107.3%,80.4%,14
15,    荷造運搬費,40,40,32,80.0%,80.0%,4.7%,55,55,100.0%,2.8%,40,40,100.0%,29.6%,305,206,67.5%,5.5%,250,250,100.0%,3.9%,555,456,82.1%,4.5%,15
16,    通信費,"42,092","42,092","36,014",85.5%,85.5%,36.3%,"49,172","46,935",95.4%,42.4%,"40,592","38,355",94.4%,40.9%,"764,532","756,038",98.8%,122.0%,"242,952","231,164",95.1%,40.9%,"1,007,484","987,202",97.9%,83.3%,16
17,    水道光熱費,"56,700","56,700","57,794",101.9%,101.9%,40.2%,"69,500","69,500",100.0%,38.1%,"57,700","57,700",100.0%,43.7%,"352,900","352,621",99.9%,39.8%,"368,000","368,000",100.0%,35.2%,"720,900","720,621",99.9%,37.3%,17
18,    事務用品費,"38,800","38,800","41,722",107.5%,107.5%,40.4%,"24,400","24,400",100.0%,43.9%,"33,200","33,200",100.0%,37.8%,"201,100","217,420",108.1%,43.3%,"186,800","186,800",100.0%,43.2%,"387,900","404,220",104.2%,43.3%,18
19,    消耗品費,"4,400","4,400","3,952",89.8%,89.8%,3.3%,"3,600","3,600",100.0%,3.5%,"4,100","4,100",100.0%,6.2%,"28,500","31,293",109.8%,5.1%,"34,500","34,500",100.0%,6.1%,"63,000","65,793",104.4%,5.6%,19
20,    廃棄物処理料,"19,440","19,440","19,750",101.5%,101.5%,40.2%,"17,100","17,100",100.0%,36.6%,"17,000","17,000",100.0%,50.9%,"133,910","149,436",111.5%,53.4%,"143,740","143,740",100.0%,48.9%,"277,650","293,176",105.5%,51.1%,20
21,    広告宣伝費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,21
22,    接待交際費,"4,000","4,000","-1,473",-,-,-,"4,000","4,000",100.0%,-,"4,000","4,000",100.0%,992.5%,"24,000","23,792",99.1%,77.5%,"24,000","24,000",100.0%,179.8%,"48,000","47,792",99.5%,108.5%,22
23,    研究開発費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,23
24,    賃借料,"40,015","40,014","40,014",100.0%,99.9%,7.2%,"40,015","40,015",100.0%,7.2%,"40,015","40,015",100.0%,7.2%,"240,090","240,176",100.0%,7.2%,"240,090","240,090",100.0%,7.2%,"480,180","480,266",100.0%,7.2%,24
25,    賃貸料収入,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,"-1,001","-1,001",-,-,"-1,001","-1,001",-,-,25
26,    修繕費,"24,000","16,700","15,457",92.5%,64.4%,358.0%,"24,000","16,700",69.5%,24.8%,"24,000","75,870",316.1%,28.5%,"195,870","155,601",79.4%,31.7%,"144,000","144,000",100.0%,211.9%,"339,870","299,601",88.1%,53.6%,26
