,2026年6月度,,,,,,,,,,,,,,,,,,,,,,,,,,,
,060B10300_EC営業課,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：円）,
,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,
,,5月,,,,,,6月,,,,第1四半期,,,,第2四半期,,,,上期,,,,年度,,,,
,科目,MP,予定,実績,予定比,MP比,前年比,MP,予定,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,
1,総受注高,"135,800,000","135,800,000","100,994,799",74.3%,74.3%,-,"135,600,000","177,600,000",130.9%,-,"432,000,000","476,983,741",110.4%,-,"316,100,000","316,100,000",100.0%,-,"748,100,000","793,083,741",106.0%,-,"1,105,000,000","1,149,983,741",104.0%,-,1
2,    受注高,"135,800,000","135,800,000","100,994,799",74.3%,74.3%,-,"135,600,000","177,600,000",130.9%,-,"432,000,000","476,983,741",110.4%,-,"316,100,000","316,100,000",100.0%,-,"748,100,000","793,083,741",106.0%,-,"1,105,000,000","1,149,983,741",104.0%,-,2
3,    受注割戻高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,3
4,総売上高,"135,800,000","135,800,000","83,083,836",61.1%,61.1%,-,"135,600,000","177,600,000",130.9%,-,"432,000,000","426,386,176",98.7%,-,"316,100,000","316,100,000",100.0%,-,"748,100,000","742,486,176",99.2%,-,"1,105,000,000","1,099,386,176",99.4%,-,4
5,    売上高,"135,800,000","135,800,000","83,083,836",61.1%,61.1%,-,"135,600,000","177,600,000",130.9%,-,"432,000,000","426,386,176",98.7%,-,"316,100,000","316,100,000",100.0%,-,"748,100,000","742,486,176",99.2%,-,"1,105,000,000","1,099,386,176",99.4%,-,5
6,    売上割戻高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,6
7,売上原価,"120,640,000","120,640,000","72,899,314",60.4%,60.4%,-,"120,480,000","158,780,000",131.7%,-,"383,600,000","378,999,703",98.8%,-,"280,380,000","280,380,000",100.0%,-,"663,980,000","659,379,703",99.3%,-,"981,000,000","976,399,703",99.5%,-,7
