対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)
202607	014090200	4	カスミ草売上高	0.0	0.0	0.0		0.0	0.0
202607	014090200	5	その他の売上	0.0	0.0	0.0		0.0	0.0
202607	014090200	6	送料	0.0	0.0	0.0		0.0	0.0
202607	014090200	7	売上原価	0.0	0.0	0.0		0.0	0.0
202607	014090200	8	苗仕入	0.0	0.0	0.0		0.0	0.0
202607	014090200	9	パテント仕入	0.0	0.0	0.0		0.0	0.0
202607	014090200	10	社内売	0.0	0.0	0.0		0.0	0.0
202607	014090200	11	社内仕入	0.0	0.0	0.0		0.0	0.0
202607	014090200	12	総収益	0.0	0.0	0.0		0.0	0.0
202607	014090200	13	経費合計	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	14	種苗費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	15	肥料費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	16	培土費用	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	17	農薬衛生費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	18	農具費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	19	諸材料費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	20	その他仕入高	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	21	減価償却費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	22	車両費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	23	旅費交通費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	24	荷造運搬費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	25	通信費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	26	水道光熱費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	27	動力費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	28	燃料費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	29	事務用品費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	30	消耗品費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	31	廃棄物処理料	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	32	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	33	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	34	研究開発費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	35	クレーム費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	36	賃借料	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	37	賃貸料収入	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	45	修繕費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	46	支払リース料	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	47	保険料	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	48	支払報酬	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	49	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	50	支払手数料	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	51	診断料	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	52	諸会費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	53	会議費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	54	寄付金	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	55	租税公課	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	56	業務委託費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	57	業務受託収入	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	58	システム管理料	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	59	情報機器利用料	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	60	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	61	雑費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	62	福利消耗品費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	63	教育研修費	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	64	雑給	0.0	0.0	0.0	0.0	0.0	0.0
202607	014090200	65	グループ共通	0.0	0.0	0.0	0.0	0.0	0.0
