対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)	組織名
202205	230W60100	9	パテント仕入	0.0	0.0	-245530.0		0.0	0.0	管理購買部
202205	230W60100	10	社内売	13727252.0	16525201.0	23062577.0		139.5	168.0	管理購買部
202205	230W60100	11	社内仕入	0.0	0.0	0.0		0.0	0.0	管理購買部
202205	230W60100	12	総収益	3267572.0	3909586.0	6589308.0		168.5	201.6	管理購買部
202205	230W60100	13	経費合計	2929590.0	2954680.0	2517310.0	0.0	85.1	85.9	管理購買部
202205	230W60100	14	種苗費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	15	肥料費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	16	培土費用	900000.0	950000.0	508250.0	0.0	53.5	56.4	管理購買部
202205	230W60100	17	農薬衛生費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	18	農具費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	19	諸材料費	170000.0	40000.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	20	その他仕入高	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	21	減価償却費	200754.0	200754.0	200754.0	0.0	100.0	100.0	管理購買部
202205	230W60100	22	車両費	101690.0	101690.0	97070.0	0.0	95.4	95.4	管理購買部
202205	230W60100	23	旅費交通費	5000.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	24	荷造運搬費	910000.0	960000.0	1169888.0	0.0	121.8	128.5	管理購買部
202205	230W60100	25	通信費	15806.0	15806.0	30734.0	0.0	194.4	194.4	管理購買部
202205	230W60100	26	水道光熱費	2700.0	2700.0	2859.0	0.0	105.8	105.8	管理購買部
202205	230W60100	27	動力費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	28	燃料費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	29	事務用品費	35000.0	105000.0	140762.0	0.0	134.0	402.1	管理購買部
202205	230W60100	30	消耗品費	20000.0	20000.0	18671.0	0.0	93.3	93.3	管理購買部
202205	230W60100	31	廃棄物処理料	16000.0	16000.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	32	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	33	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	34	研究開発費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	35	クレーム費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	36	賃借料	56500.0	56500.0	56000.0	0.0	99.1	99.1	管理購買部
202205	230W60100	37	賃貸料収入	-10000.0	-10000.0	-10000.0	0.0	0.0	0.0	管理購買部
202205	230W60100	45	修繕費	30000.0	30000.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	46	支払リース料	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	47	保険料	4860.0	4860.0	4590.0	0.0	94.4	94.4	管理購買部
202205	230W60100	48	支払報酬	18500.0	18500.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	49	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	50	支払手数料	27000.0	27000.0	19275.0	0.0	71.3	71.3	管理購買部
202205	230W60100	51	診断料	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	52	諸会費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	53	会議費	0.0	14000.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	54	寄付金	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	55	租税公課	207200.0	195400.0	225000.0	0.0	115.1	108.5	管理購買部
202205	230W60100	56	業務委託費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	57	業務受託収入	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	58	システム管理料	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	59	情報機器利用料	22320.0	22320.0	31300.0	0.0	140.2	140.2	管理購買部
202205	230W60100	60	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	61	雑費	8700.0	8700.0	8783.0	0.0	100.9	100.9	管理購買部
202205	230W60100	62	福利消耗品費	39960.0	32850.0	12850.0	0.0	39.1	32.1	管理購買部
202205	230W60100	63	教育研修費	5000.0	0.0	524.0	0.0	0.0	10.4	管理購買部
202205	230W60100	64	雑給	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	65	グループ共通	142600.0	142600.0	0.0	0.0	0.0	0.0	管理購買部
202205	230W60100	66	差引収益	337982.0	954906.0	4071998.0	0.0	426.4		管理購買部
202205	230W60100	67	差引比率	0.0	0.0	0.0		0.0	0.0	管理購買部
202205	230W60100	68	総時間	580.0	547.25	570.0		104.1	98.2	管理購買部
202205	230W60100	69	定時間	672.0	648.0	644.0		99.3	95.8	管理購買部
202205	230W60100	70	残業時間	20.0	20.0	42.25		211.2	211.2	管理購買部
202205	230W60100	71	移動時間	-112.0	-120.75	-116.25		0.0	0.0	管理購買部
202205	230W60100	72	当月時間当り	582.7	1744.9	7143.8		409.4		管理購買部
202205	230W60100	73	人員	4.0	4.0	4.0		100.0	100.0	管理購買部
202206	230W60100	1	総受注高	0.0	0.0	-4680.0		0.0	0.0	管理購買部
202206	230W60100	2	総売上高	0.0	0.0	-4680.0		0.0	0.0	管理購買部
202206	230W60100	3	カーネーション売上高	0.0	0.0	0.0		0.0	0.0	管理購買部
202206	230W60100	4	カスミ草売上高	0.0	0.0	0.0		0.0	0.0	管理購買部
202206	230W60100	5	その他の売上	0.0	0.0	-4680.0		0.0	0.0	管理購買部
202206	230W60100	6	送料	0.0	0.0	0.0		0.0	0.0	管理購買部
202206	230W60100	7	売上原価	134079040.0	143019996.0	121441817.0		84.9	90.5	管理購買部
202206	230W60100	8	苗仕入	133764940.0	142705896.0	121353091.0		85.0	90.7	管理購買部
202206	230W60100	9	パテント仕入	314100.0	314100.0	88726.0		28.2	28.2	管理購買部
202206	230W60100	10	社内売	162380498.0	179492315.0	170018544.0		94.7	104.7	管理購買部
202206	230W60100	11	社内仕入	0.0	0.0	0.0		0.0	0.0	管理購買部
202206	230W60100	12	総収益	28301458.0	36472319.0	48572047.0		133.1	171.6	管理購買部
202206	230W60100	13	経費合計	6424230.0	5480782.0	7820759.0	0.0	142.6	121.7	管理購買部
202206	230W60100	14	種苗費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	15	肥料費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	16	培土費用	450000.0	475000.0	1540150.0	0.0	324.2	342.2	管理購買部
202206	230W60100	17	農薬衛生費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	18	農具費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	19	諸材料費	90000.0	90000.0	550736.0	0.0	611.9	611.9	管理購買部
202206	230W60100	20	その他仕入高	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	21	減価償却費	200754.0	200754.0	200754.0	0.0	100.0	100.0	管理購買部
202206	230W60100	22	車両費	101690.0	101690.0	99164.0	0.0	97.5	97.5	管理購買部
202206	230W60100	23	旅費交通費	5000.0	0.0	5136.0	0.0	0.0	102.7	管理購買部
202206	230W60100	24	荷造運搬費	4885000.0	4000000.0	4624852.0	0.0	115.6	94.6	管理購買部
202206	230W60100	25	通信費	15806.0	18358.0	21264.0	0.0	115.8	134.5	管理購買部
202206	230W60100	26	水道光熱費	2700.0	2700.0	2667.0	0.0	98.7	98.7	管理購買部
202206	230W60100	27	動力費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	28	燃料費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	29	事務用品費	35000.0	35000.0	39999.0	0.0	114.2	114.2	管理購買部
202206	230W60100	30	消耗品費	20000.0	20000.0	44136.0	0.0	220.6	220.6	管理購買部
202206	230W60100	31	廃棄物処理料	16000.0	16000.0	16000.0	0.0	100.0	100.0	管理購買部
202206	230W60100	32	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	33	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	34	研究開発費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	35	クレーム費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	36	賃借料	56500.0	56500.0	56000.0	0.0	99.1	99.1	管理購買部
202206	230W60100	37	賃貸料収入	-10000.0	-10000.0	-10000.0	0.0	0.0	0.0	管理購買部
202206	230W60100	45	修繕費	30000.0	30000.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	46	支払リース料	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	47	保険料	4860.0	4860.0	4590.0	0.0	94.4	94.4	管理購買部
202206	230W60100	48	支払報酬	18500.0	18500.0	101500.0	0.0	548.6	548.6	管理購買部
202206	230W60100	49	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	50	支払手数料	27000.0	27000.0	30714.0	0.0	113.7	113.7	管理購買部
202206	230W60100	51	診断料	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	52	諸会費	37000.0	27000.0	27000.0	0.0	100.0	72.9	管理購買部
202206	230W60100	53	会議費	0.0	0.0	7285.0	0.0	0.0	0.0	管理購買部
202206	230W60100	54	寄付金	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	55	租税公課	259800.0	188800.0	99000.0	0.0	52.4	38.1	管理購買部
202206	230W60100	56	業務委託費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	57	業務受託収入	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	58	システム管理料	0.0	0.0	314000.0	0.0	0.0	0.0	管理購買部
202206	230W60100	59	情報機器利用料	22320.0	22320.0	31300.0	0.0	140.2	140.2	管理購買部
202206	230W60100	60	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	61	雑費	8700.0	8700.0	9928.0	0.0	114.1	114.1	管理購買部
202206	230W60100	62	福利消耗品費	0.0	0.0	4584.0	0.0	0.0	0.0	管理購買部
202206	230W60100	63	教育研修費	5000.0	5000.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	64	雑給	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	65	グループ共通	142600.0	142600.0	0.0	0.0	0.0	0.0	管理購買部
202206	230W60100	66	差引収益	21877228.0	30991537.0	40751288.0	0.0	131.4	186.2	管理購買部
202206	230W60100	67	差引比率	0.0	0.0	-870754.0		0.0	0.0	管理購買部
202206	230W60100	68	総時間	723.0	683.25	720.0		105.3	99.5	管理購買部
202206	230W60100	69	定時間	800.0	792.0	763.0		96.3	95.3	管理購買部
202206	230W60100	70	残業時間	35.0	35.0	106.25		303.5	303.5	管理購買部
202206	230W60100	71	移動時間	-112.0	-143.75	-149.25		0.0	0.0	管理購買部
202206	230W60100	72	当月時間当り	30258.9	45359.0	56599.0		124.7	187.0	管理購買部
202206	230W60100	73	人員	4.0	4.0	4.0		100.0	100.0	管理購買部
202207	230W60100	1	総受注高	0.0	0.0	0.0		0.0	0.0	管理購買部
202207	230W60100	2	総売上高	0.0	0.0	0.0		0.0	0.0	管理購買部
202207	230W60100	3	カーネーション売上高	0.0	0.0	0.0		0.0	0.0	管理購買部
202207	230W60100	4	カスミ草売上高	0.0	0.0	0.0		0.0	0.0	管理購買部
202207	230W60100	5	その他の売上	0.0	0.0	0.0		0.0	0.0	管理購買部
202207	230W60100	6	送料	0.0	0.0	0.0		0.0	0.0	管理購買部
202207	230W60100	7	売上原価	6782610.0	18882122.0	31075165.0		164.5	458.1	管理購買部
202207	230W60100	8	苗仕入	6661810.0	18882122.0	30517133.0		161.6	458.0	管理購買部
202207	230W60100	9	パテント仕入	120800.0	0.0	558032.0		0.0	461.9	管理購買部
202207	230W60100	10	社内売	9495654.0	26434970.0	43505231.0		164.5	458.1	管理購買部
202207	230W60100	11	社内仕入	0.0	0.0	0.0		0.0	0.0	管理購買部
202207	230W60100	12	総収益	2713044.0	7552848.0	12430066.0		164.5	458.1	管理購買部
202207	230W60100	13	経費合計	2510955.0	3348107.0	2220697.0	0.0	66.3	88.4	管理購買部
202207	230W60100	14	種苗費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	15	肥料費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	16	培土費用	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	17	農薬衛生費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	18	農具費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	19	諸材料費	150000.0	150000.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	20	その他仕入高	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	21	減価償却費	200754.0	200754.0	200754.0	0.0	100.0	100.0	管理購買部
