,2026年6月度,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230G50210_土壌・肥料チーム,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：円）,
,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,
,,5月,,,,,,6月,,,,第1四半期,,,,第2四半期,,,,上期,,,,年度,,,,
,科目,MP,予定,実績,予定比,MP比,前年比,MP,予定,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,
1,総受注高,"1,472,775","1,472,775","1,305,460",88.6%,88.6%,60.3%,"1,556,475","1,556,475",100.0%,70.0%,"4,220,225","4,069,725",96.4%,52.3%,"5,863,925","5,863,925",100.0%,60.7%,"10,084,150","9,933,650",98.5%,56.9%,"25,381,125","25,230,625",99.4%,64.6%,1
2,総売上高,"1,472,775","1,472,775","1,305,460",88.6%,88.6%,60.3%,"1,556,475","1,542,475",99.1%,69.4%,"4,220,225","4,055,725",96.1%,52.1%,"5,863,925","5,863,925",100.0%,60.7%,"10,084,150","9,919,650",98.3%,56.9%,"25,381,125","25,216,625",99.3%,64.6%,2
3,    売上高,"162,500","162,500","383,500",236.0%,236.0%,107.0%,"97,500","97,500",100.0%,24.8%,"292,500","720,200",246.2%,28.2%,"877,500","877,500",100.0%,29.5%,"1,170,000","1,597,700",136.5%,28.9%,"6,695,000","7,122,700",106.3%,54.6%,3
4,    グループ売上高,"1,310,275","1,310,275","921,960",70.3%,70.3%,51.0%,"1,458,975","1,444,975",99.0%,78.9%,"3,927,725","3,335,525",84.9%,63.8%,"4,986,425","4,986,425",100.0%,74.6%,"8,914,150","8,321,950",93.3%,69.8%,"18,686,125","18,093,925",96.8%,69.6%,4
5,売上原価,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,5
6,    仕入高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,6
7,    グループ仕入高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,7
8,総収益,"1,472,775","1,472,775","1,305,460",88.6%,88.6%,60.3%,"1,556,475","1,542,475",99.1%,69.4%,"4,220,225","4,055,725",96.1%,52.1%,"5,863,925","5,863,925",100.0%,60.7%,"10,084,150","9,919,650",98.3%,56.9%,"25,381,125","25,216,625",99.3%,64.6%,8
9,経費合計,"1,043,640","1,043,640","1,185,750",113.6%,113.6%,109.3%,"1,114,646","1,172,696",105.2%,99.2%,"3,393,913","3,727,515",109.8%,108.2%,"3,292,903","3,230,053",98.0%,71.5%,"6,686,816","6,957,568",104.0%,87.4%,"13,536,143","13,681,195",101.0%,79.3%,9
10,    減価償却費,"65,276","65,276","66,916",102.5%,102.5%,93.5%,"65,276","65,276",100.0%,91.2%,"195,828","199,108",101.6%,92.7%,"195,828","195,828",100.0%,91.2%,"391,656","394,936",100.8%,92.0%,"783,336","786,616",100.4%,91.6%,10
11,    車両費,745,745,"1,732",232.4%,232.4%,89.0%,745,745,100.0%,100.0%,"2,235","3,009",134.6%,87.5%,"2,235","2,235",100.0%,123.5%,"4,470","5,244",117.3%,100.0%,"8,940","9,714",108.6%,115.1%,11
12,    旅費交通費,0,0,0,-,-,0.0%,0,0,-,-,0,"43,836",-,-,"30,000","30,000",100.0%,164.5%,"30,000","73,836",246.1%,357.4%,"30,000","73,836",246.1%,283.1%,12
13,    荷造運搬費,0,0,720,-,-,-,0,0,-,-,0,720,-,-,0,0,-,0.0%,0,720,-,32.1%,0,720,-,32.1%,13
14,    通信費,"14,308","14,308","14,278",99.7%,99.7%,71.4%,"14,308","14,308",100.0%,71.8%,"42,924","49,094",114.3%,80.9%,"42,924","42,924",100.0%,71.4%,"85,848","92,018",107.1%,76.1%,"171,696","177,866",103.5%,73.7%,14
15,    水道光熱費,"87,500","87,500","69,106",78.9%,78.9%,84.8%,"95,000","95,000",100.0%,107.6%,"270,000","245,991",91.1%,90.4%,"307,500","307,500",100.0%,106.7%,"577,500","553,491",95.8%,98.8%,"1,115,000","1,090,991",97.8%,99.7%,15
16,    動力費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,0.0%,16
17,    事務用品費,"1,125","1,125","1,051",93.4%,93.4%,77.8%,"1,125","1,125",100.0%,30.6%,"3,375","3,659",108.4%,57.4%,"3,375","3,375",100.0%,44.5%,"6,750","7,034",104.2%,50.4%,"13,500","13,784",102.1%,34.0%,17
18,    消耗品費,"10,000","10,000","19,016",190.1%,190.1%,62.7%,"5,000","5,000",100.0%,29.6%,"20,000","110,042",550.2%,223.8%,"15,000","15,000",100.0%,26.4%,"35,000","125,042",357.2%,118.0%,"70,000","160,042",228.6%,41.2%,18
19,    廃棄物処理料,"6,500","6,500","6,500",100.0%,100.0%,100.0%,"71,500","71,500",100.0%,-,"134,500","84,500",62.8%,433.3%,"19,500","19,500",100.0%,68.1%,"154,000","104,000",67.5%,216.2%,"208,000","158,000",75.9%,179.5%,19
20,    広告宣伝費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,"8,000","8,000",100.0%,-,"8,000","8,000",100.0%,-,"16,000","16,000",100.0%,-,20
21,    接待交際費,0,0,"2,200",-,-,-,0,0,-,-,0,"2,200",-,-,"10,000","10,000",100.0%,-,"10,000","12,200",122.0%,-,"20,000","22,200",111.0%,-,21
22,    研究開発費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,22
23,    賃借料,"350,000","350,000","350,000",100.0%,100.0%,101.2%,"350,000","350,000",100.0%,101.2%,"1,050,000","1,050,000",100.0%,101.2%,"1,050,000","1,050,000",100.0%,101.2%,"2,100,000","2,100,000",100.0%,101.2%,"4,200,000","4,200,000",100.0%,101.2%,23
24,    賃貸料収入,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,24
25,    修繕費,0,0,"6,937",-,-,-,0,"28,000",-,-,0,"242,849",-,-,0,0,-,0.0%,0,"242,849",-,231.7%,"25,000","267,849",-,173.3%,25
26,    支払リース料,"19,700","19,700","19,700",100.0%,100.0%,-,"19,700","19,700",100.0%,51.4%,"59,100","59,100",100.0%,145.9%,"59,100","59,100",100.0%,100.0%,"118,200","118,200",100.0%,118.6%,"239,023","239,023",100.0%,108.4%,26
27,    保険料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,27
28,    支払報酬,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,28
29,    支払手数料,0,0,0,-,-,-,0,0,-,-,0,500,-,-,0,0,-,-,0,500,-,-,0,500,-,178.5%,29
30,    診断料,"492,580","492,580","746,087",151.4%,151.4%,193.7%,"554,280","554,280",100.0%,113.2%,"1,702,400","1,930,982",113.4%,137.4%,"1,707,300","1,707,300",100.0%,72.8%,"3,409,700","3,638,282",106.7%,97.0%,"7,215,170","7,443,752",103.1%,85.6%,30
31,    諸会費,0,0,0,-,-,-,0,0,-,0.0%,"12,500","12,500",100.0%,51.0%,0,0,-,0.0%,"12,500","12,500",100.0%,42.2%,"12,500","12,500",100.0%,30.7%,31
32,    会議費,"6,000","6,000","2,994",49.9%,49.9%,-,0,0,-,-,"6,000","2,994",49.9%,-,0,0,-,-,"6,000","2,994",49.9%,-,"12,000","8,994",74.9%,-,32
33,    寄付金,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,33
34,    租税公課,"35,000","35,000",0,0.0%,0.0%,0.0%,0,"35,000",-,-,"35,000","35,000",100.0%,132.8%,0,0,-,-,"35,000","35,000",100.0%,132.8%,"35,000","35,000",100.0%,129.8%,34
35,    業務委託費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,35
36,    業務受託収入,"-200,000","-200,000","-240,600",-,-,-,"-200,000","-200,000",-,-,"-600,000","-737,390",-,-,"-600,000","-600,000",-,-,"-1,200,000","-1,337,390",-,-,"-2,400,000","-2,537,390",-,-,36
37,    システム管理料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,37
38,    情報機器利用料,"119,870","119,870","104,770",87.4%,87.4%,60.5%,"124,502","103,552",83.1%,59.8%,"364,242","313,092",85.9%,62.7%,"373,506","310,656",83.1%,59.8%,"737,748","623,748",84.5%,61.3%,"1,484,760","1,245,060",83.8%,64.8%,38
39,    雑費,"2,614","2,614","2,784",106.5%,106.5%,106.5%,"2,614","2,614",100.0%,100.0%,"7,842","8,097",103.2%,103.2%,"7,842","7,842",100.0%,100.0%,"15,684","15,939",101.6%,101.6%,"53,468","53,723",100.4%,155.8%,39
