,2026年6月度,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230H62300_財務・経理課,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：円）,
,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,
,,5月,,,,,,6月,,,,第1四半期,,,,第2四半期,,,,上期,,,,年度,,,,
,科目,MP,予定,実績,予定比,MP比,前年比,MP,予定,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,
1,総受注高,"3,993,000","3,993,000","3,993,000",100.0%,100.0%,-,"3,993,000","3,993,000",100.0%,-,"11,979,000","11,979,000",100.0%,-,"11,979,000","11,979,000",100.0%,-,"23,958,000","23,958,000",100.0%,-,"47,916,000","47,916,000",100.0%,-,1
2,総売上高,"3,993,000","3,993,000","3,993,000",100.0%,100.0%,-,"3,993,000","3,993,000",100.0%,-,"11,979,000","11,979,000",100.0%,-,"11,979,000","11,979,000",100.0%,-,"23,958,000","23,958,000",100.0%,-,"47,916,000","47,916,000",100.0%,-,2
3,    売上高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,3
4,    グループ売上高,"3,993,000","3,993,000","3,993,000",100.0%,100.0%,-,"3,993,000","3,993,000",100.0%,-,"11,979,000","11,979,000",100.0%,-,"11,979,000","11,979,000",100.0%,-,"23,958,000","23,958,000",100.0%,-,"47,916,000","47,916,000",100.0%,-,4
5,売上原価,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,5
6,    仕入高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,6
7,    グループ仕入高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,7
8,総収益,"3,993,000","3,993,000","3,993,000",100.0%,100.0%,-,"3,993,000","3,993,000",100.0%,-,"11,979,000","11,979,000",100.0%,-,"11,979,000","11,979,000",100.0%,-,"23,958,000","23,958,000",100.0%,-,"47,916,000","47,916,000",100.0%,-,8
9,経費合計,"2,117,278","2,113,146","2,044,018",96.7%,96.5%,-,"2,080,923","2,093,000",100.5%,-,"6,461,750","6,389,019",98.8%,-,"8,790,381","8,794,681",100.0%,-,"15,252,131","15,183,700",99.5%,-,"28,251,946","28,186,515",99.7%,-,9
