,2026年6月度,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230H60600_経営管理チーム,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：円）,
,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,
,,5月,,,,,,6月,,,,第1四半期,,,,第2四半期,,,,上期,,,,年度,,,,
,科目,MP,予定,実績,予定比,MP比,前年比,MP,予定,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,MP,見通し,MP比,前年比,
1,総受注高,"918,000","918,000","918,000",100.0%,100.0%,103.7%,"918,000","918,000",100.0%,103.7%,"2,754,000","2,754,000",100.0%,103.7%,"2,754,000","2,754,000",100.0%,103.7%,"5,508,000","5,508,000",100.0%,103.7%,"11,016,000","11,016,000",100.0%,103.7%,1
2,総売上高,"918,000","918,000","918,000",100.0%,100.0%,103.7%,"918,000","918,000",100.0%,103.7%,"2,754,000","2,754,000",100.0%,103.7%,"2,754,000","2,754,000",100.0%,103.7%,"5,508,000","5,508,000",100.0%,103.7%,"11,016,000","11,016,000",100.0%,103.7%,2
3,    売上高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,3
4,    グループ売上高,"918,000","918,000","918,000",100.0%,100.0%,103.7%,"918,000","918,000",100.0%,103.7%,"2,754,000","2,754,000",100.0%,103.7%,"2,754,000","2,754,000",100.0%,103.7%,"5,508,000","5,508,000",100.0%,103.7%,"11,016,000","11,016,000",100.0%,103.7%,4
5,売上原価,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,5
6,    仕入高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,6
7,    グループ仕入高,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,7
8,総収益,"918,000","918,000","918,000",100.0%,100.0%,103.7%,"918,000","918,000",100.0%,103.7%,"2,754,000","2,754,000",100.0%,103.7%,"2,754,000","2,754,000",100.0%,103.7%,"5,508,000","5,508,000",100.0%,103.7%,"11,016,000","11,016,000",100.0%,103.7%,8
9,経費合計,"279,350","277,898","263,126",94.6%,94.1%,92.6%,"269,388","268,519",99.6%,95.4%,"819,699","817,633",99.7%,91.5%,"874,483","874,483",100.0%,101.3%,"1,694,182","1,692,116",99.8%,96.3%,"3,377,354","3,375,288",99.9%,95.0%,9
10,    減価償却費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,10
11,    車両費,"2,984","2,984","2,432",81.5%,81.5%,65.3%,"2,984","2,984",100.0%,75.9%,"8,952","8,366",93.4%,72.3%,"8,952","8,952",100.0%,63.5%,"17,904","17,318",96.7%,67.5%,"35,808","35,222",98.3%,78.1%,11
12,    旅費交通費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,"63,500","63,500",100.0%,902.3%,"63,500","63,500",100.0%,902.3%,"63,500","63,500",100.0%,902.3%,12
13,    荷造運搬費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,13
14,    通信費,"2,051","2,051","1,863",90.8%,90.8%,81.4%,"2,293","2,293",100.0%,104.7%,"6,637","6,327",95.3%,90.8%,"7,179","7,179",100.0%,109.5%,"13,816","13,506",97.7%,99.9%,"26,848","26,538",98.8%,100.2%,14
15,    水道光熱費,"8,731","8,731","8,041",92.0%,92.0%,84.4%,"9,311","9,311",100.0%,101.3%,"31,555","26,745",84.7%,85.0%,"39,698","39,698",100.0%,108.0%,"71,253","66,443",93.2%,97.4%,"147,056","142,246",96.7%,103.6%,15
16,    動力費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,16
17,    事務用品費,614,45,529,-,86.1%,139.9%,614,299,48.6%,36.5%,"1,842","1,201",65.2%,55.5%,"1,842","1,842",100.0%,79.8%,"3,684","3,043",82.6%,68.0%,"7,368","6,727",91.3%,71.9%,17
18,    消耗品費,"2,557","1,590","1,429",89.8%,55.8%,142.3%,"1,991","1,437",72.1%,175.4%,"6,253","3,737",59.7%,131.7%,"4,609","4,609",100.0%,165.3%,"10,862","8,346",76.8%,148.4%,"19,807","17,291",87.2%,141.0%,18
19,    廃棄物処理料,"1,125","1,125",0,0.0%,0.0%,0.0%,"1,091","1,091",100.0%,107.3%,"3,546","2,113",59.5%,70.5%,"3,137","3,137",100.0%,105.8%,"6,683","5,250",78.5%,88.1%,"12,889","11,456",88.8%,96.6%,19
20,    広告宣伝費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,20
21,    接待交際費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,21
22,    研究開発費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,22
23,    賃借料,"172,200","172,200","172,200",100.0%,100.0%,87.6%,"172,200","172,200",100.0%,87.6%,"516,600","516,600",100.0%,87.6%,"516,600","516,600",100.0%,87.6%,"1,033,200","1,033,200",100.0%,87.6%,"2,066,400","2,066,400",100.0%,87.6%,23
24,    賃貸料収入,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,24
25,    修繕費,0,0,0,-,-,-,"2,582","2,582",100.0%,-,"2,582","2,582",100.0%,-,0,0,-,-,"2,582","2,582",100.0%,-,"2,582","2,582",100.0%,24.9%,25
26,    支払リース料,982,982,223,22.7%,22.7%,20.7%,982,982,100.0%,91.4%,"2,946","2,873",97.5%,89.1%,"2,946","2,946",100.0%,91.4%,"5,892","5,819",98.7%,90.3%,"11,784","11,711",99.3%,90.8%,26
27,    保険料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,27
28,    支払報酬,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,28
29,    支払手数料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,29
30,    診断料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,30
31,    諸会費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,31
32,    会議費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,32
33,    寄付金,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,33
34,    租税公課,0,0,0,-,-,-,0,0,-,-,0,"20,000",-,-,0,0,-,-,0,"20,000",-,-,0,"20,000",-,-,34
35,    業務委託費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,35
36,    業務受託収入,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,36
37,    システム管理料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,37
38,    情報機器利用料,"74,332","74,332","74,332",100.0%,100.0%,114.6%,"74,332","74,332",100.0%,114.6%,"222,996","222,996",100.0%,114.6%,"222,996","222,996",100.0%,114.6%,"445,992","445,992",100.0%,114.6%,"891,984","891,984",100.0%,112.6%,38
39,    雑費,485,485,485,100.0%,100.0%,96.6%,485,485,100.0%,96.6%,"1,455","1,455",100.0%,96.6%,"1,455","1,455",100.0%,96.6%,"2,910","2,910",100.0%,96.6%,"5,820","5,820",100.0%,8.1%,39
40,    福利消耗品費,"12,766","12,850","1,069",8.3%,8.3%,76.4%,0,0,-,-,"12,766","1,069",8.3%,76.4%,0,0,-,-,"12,766","1,069",8.3%,76.4%,"14,232","2,535",17.8%,94.3%,40
41,    教育研修費,523,523,523,100.0%,100.0%,28.5%,523,523,100.0%,97.7%,"1,569","1,569",100.0%,3.4%,"1,569","1,569",100.0%,97.7%,"3,138","3,138",100.0%,6.7%,"71,276","71,276",100.0%,127.3%,41
42,    雑給,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,42
43,    社内金利（固定資産）,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,43
44,差引収益,"638,650","640,102","654,874",102.3%,102.5%,108.9%,"648,612","649,481",100.1%,107.6%,"1,934,301","1,936,367",100.1%,109.9%,"1,879,517","1,879,517",100.0%,104.8%,"3,813,818","3,815,884",100.0%,107.3%,"7,638,646","7,640,712",100.0%,108.1%,44
45,差引比率,69.5,69.7,71.3,102.2%,102.5%,105.1%,70.6,70.7,100.1%,103.6%,70.2,70.3,100.1%,106.0%,68.2,68.2,100.0%,101.0%,69.2,69.2,100.0%,103.4%,69.3,69.3,100.0%,104.2%,45
46,総時間,485.00,493.00,499.75,101.3%,103.0%,90.3%,544.00,548.00,100.7%,98.6%,"1,574.00","1,565.50",99.4%,92.7%,"1,420.00","1,418.00",99.8%,92.8%,"2,994.00","2,983.50",99.6%,92.8%,"6,036.00","6,019.50",99.7%,94.0%,46
47,    定時間,432.00,440.00,443.50,100.7%,102.6%,92.3%,496.00,500.00,100.8%,102.5%,"1,416.00","1,417.50",100.1%,96.9%,"1,360.00","1,360.00",100.0%,101.2%,"2,776.00","2,777.50",100.0%,98.9%,"5,576.00","5,577.50",100.0%,100.0%,47
48,    残業時間,25.00,25.00,27.25,109.0%,109.0%,187.9%,20.00,20.00,100.0%,156.8%,74.00,66.50,89.8%,122.0%,36.00,36.00,100.0%,109.9%,110.00,102.50,93.1%,117.4%,224.00,216.50,96.6%,105.3%,48
49,    移動時間,28.00,28.00,29.00,103.5%,103.5%,49.5%,28.00,28.00,100.0%,50.9%,84.00,81.50,97.0%,47.9%,24.00,22.00,91.6%,14.5%,108.00,103.50,95.8%,32.1%,236.00,225.50,95.5%,36.4%,49
50,当月時間当り,"1,316.8","1,298.3","1,310.4",100.9%,99.5%,120.5%,"1,192.3","1,185.1",99.3%,109.0%,"1,228.9","1,236.9",100.6%,118.4%,"1,323.6","1,325.4",100.1%,112.9%,"1,273.8","1,278.9",100.4%,115.6%,"1,265.5","1,269.3",100.3%,114.9%,50
51,人員,3,3,3,100.0%,100.0%,100.0%,3,3,100.0%,100.0%,3,3,100.0%,100.0%,3,3,100.0%,100.0%,3,3,100.0%,100.0%,3,3,100.0%,100.0%,51
,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,
